Sitio_parasitoides,altitud,TYPE,dist_to_coast
Rambla Canizares,120,LOW,6941.65
Cerro Gordo Carretera,160,LOW,861.29
Cerro Gordo,190,LOW,150.92
Cerro del Toro,200,LOW,5373.36
Jarales Sur,270,LOW,16150.53
Jarales Norte,340,LOW,16727.37
Cruce Donia Maria,725,LOW,38454.7
San Marcos Benamaurel,730,LOW,87778.23
Barranco del Espartal,750,LOW,80446.96
Venta Camacho 1,900,LOW,80399.04
Venta Camacho 2,910,LOW,81750.2
Cruce Vva. de las Torres,1100,LOW,71479.65
Cruce de Freila,1110,LOW,78127.91
Cruce Vva. de las Torres 2,1120,LOW,71131.74
Cumbres Verdes,1150,LOW,39728.01
Rambla de Ceuta,1160,LOW,76650.8
Carretera de Narváez,1280,HIGH,73680.93
Huétor 1,1300,HIGH,58075.46
Huetor 2,1330,HIGH,62074.8
Cortijo Quemado,1350,HIGH,24365.91
Cerro de las Pipas,1370,HIGH,38251.61
Canaleja Alta,1700,HIGH,68800.98
Collado Ruquino 3,1710,HIGH,39961.35
Jardin de la Cortijuela,1730,HIGH,39392.24
Collado Ruquino 2,1750,HIGH,40269.29
Cruce de Tello,1750,HIGH,25480.22
Curva del Conejo,1750,HIGH,68116.24
Collado Ruquino 1,1780,HIGH,40322.4
Loma Panaderos,1800,HIGH,39142.37
Hoya de Pedraza,1830,HIGH,41625.99
Cerro del Mirador,1950,HIGH,39819.96
Peña Caballera,2000,HIGH,26495.79
Prados del Rey,2000,HIGH,67760
